id	slug	category	tags	cohort	origin	tmpl	nobj	kinds	starter	idmin	idmax	ids	prereq	companions	sessioninfo	testperm	tcid	ft_solved	ft_total	bo2_solved	bo2_total	passk5_models_ft	passk5_models_bo2	opus_ft_5	opus_bo2_5	evidence	desc
CG-AL-H001	tax-calculator	business-logic				code-gen.md	0							CG-AL-H001.ProductType.al		Disabled	80101									no-passk-data	>-
CG-AL-H002	flowfield-calcformula	data-modeling				code-gen.md	0									Disabled	80002									no-passk-data	>-
CG-AL-H003	temporary-table-logic	advanced-patterns				code-gen.md	0									Disabled	80003									no-passk-data	>-
CG-AL-H004	enum-ordinal-trap	data-modeling				code-gen.md	0									Disabled	80004									no-passk-data	>-
CG-AL-H005	record-modify-trap	advanced-patterns				code-gen.md	0									Disabled	80006									no-passk-data	>-
CG-AL-H006	codeunit-single-instance	advanced-patterns				code-gen.md	0									Disabled	80007									no-passk-data	>-
CG-AL-H007	errorinfo-handling	error-handling				code-gen.md	0									Disabled	80008									no-passk-data	>-
CG-AL-H008	tryfunction-pattern	error-handling				code-gen.md	0									Disabled	80009									no-passk-data	>-
CG-AL-H009	currency-rounding	business-logic				code-gen.md	0									Disabled	80010									no-passk-data	>-
CG-AL-H010	integration-event	interfaces-events				code-gen.md	0									Disabled	80011									no-passk-data	>-
CG-AL-H011	query-aggregation	advanced-patterns				code-gen.md	0									Disabled	80012									no-passk-data	>-
CG-AL-H013	continue-keyword	business-logic				code-gen.md	0									Disabled	80014									no-passk-data	>-
CG-AL-H014	json-typed-getters	data-exchange				code-gen.md	0									Disabled	80015									no-passk-data	>-
CG-AL-H015	payment-gateway	interfaces-events				code-gen.md	0									Disabled	80015									no-passk-data	>-
CG-AL-H016	secrettext	error-handling				code-gen.md	0									Disabled	80017									no-passk-data	>-
CG-AL-H017	query-crossjoin	advanced-patterns				code-gen.md	0									Disabled	80018									no-passk-data	>-
CG-AL-H018	fluent-api	advanced-patterns				code-gen.md	0									Disabled	80019									no-passk-data	>-
CG-AL-H019	inherent-permissions	error-handling				code-gen.md	0									Disabled	80020									no-passk-data	>-
CG-AL-H020	list-parameter	advanced-patterns				code-gen.md	0									Disabled	80021									no-passk-data	>-
CG-AL-H021	interface-collections	interfaces-events				code-gen.md	0									Disabled	80021									no-passk-data	>-
CG-AL-H022	recordref-fieldref	advanced-patterns				code-gen.md	0						Y			Disabled	80022									no-passk-data	>-
CG-AL-H023	recordref-advanced	advanced-patterns				code-gen.md	0						Y	CG-AL-H023.MockTransformer.al		Disabled	80025									no-passk-data	>-
CG-AL-H024	recordref-field-by-name	advanced-patterns				code-gen.md	0						Y			Disabled	80124									no-passk-data	>-
CG-AL-H025	datatransfer-install	advanced-patterns				code-gen.md	0						Y			Disabled	80125									no-passk-data	>-
CG-AL-H026	record-recordref-conversion	advanced-patterns				code-gen.md	0						Y			Disabled	80126									no-passk-data	>-
CG-AL-H027	xrec-tableext-onaftermodify-inert	advanced-patterns				code-gen.md	0						Y			Disabled	80103									no-passk-data	>-
CG-AL-H028	fieldref-filter-roundtrip	advanced-patterns				code-gen.md	0						Y			Disabled	80228									no-passk-data	>-
CG-AL-H029	binary-fieldref-detect	advanced-patterns				code-gen.md	0						Y			Disabled	80229									no-passk-data	>-
CG-AL-H030	composite-pk-serialize	advanced-patterns				code-gen.md	0						Y			Disabled	80230									no-passk-data	>-
CG-AL-H031	flowfield-calcfield	advanced-patterns				code-gen.md	0						Y			Disabled	80231									no-passk-data	>-
CG-AL-H032	field-relation-nth	advanced-patterns				code-gen.md	0									Disabled	80232									no-passk-data	>-
CG-AL-H033	conditional-section-visibility	user-interface				code-gen.md	0									Disabled	80033									no-passk-data	>-
CG-AL-H034	commitbehavior-publisher	error-handling				code-gen.md	0						Y	CG-AL-H034.Subscriber.al		Disabled	80235									no-passk-data	>-
CG-AL-H035	secrettext-httpheaders	error-handling				code-gen.md	0									Disabled	80250									no-passk-data	>-
CG-AL-H036	secretstrsubstno-tokenparse	error-handling				code-gen.md	0									Disabled	80251									no-passk-data	>-
CG-AL-H037	datatransfer-upgrade-slice	advanced-patterns				code-gen.md	0						Y			Disabled	80252									no-passk-data	>-
CG-AL-H038	codeunit-run-atomic	error-handling				code-gen.md	0						Y			Disabled	80253									no-passk-data	>-
CG-AL-H039	upgradetag-idempotent	advanced-patterns				code-gen.md	0						Y			Disabled	80254									no-passk-data	>-
CG-AL-H040	upgradetag-subscriber	advanced-patterns				code-gen.md	0									Disabled	80255									no-passk-data	>-
CG-AL-H041	codeunit-run-defer-writes	advanced-patterns				code-gen.md	0						Y			Disabled	80256									no-passk-data	>-
CG-AL-H042	privacy-notice-consent	error-handling				code-gen.md	0									Disabled	80257									no-passk-data	>-
CG-AL-H043	uri-same-host-guard	security				code-gen.md	0									Disabled	80258									no-passk-data	>-
CG-AL-H050	collectible-errors-batch	error-handling				code-gen.md	0						Y			Disabled	80265									no-passk-data	>-
CG-AL-H051	mark-markedonly-preserve-filter	filtering				code-gen.md	0						Y			Disabled	80266									no-passk-data	>-
CG-AL-H052	filtergroup-protected-scope	filtering				code-gen.md	0						Y			Disabled	80267									no-passk-data	>-
CG-AL-H053	query-object-aggregation	performance				code-gen.md	0						Y			Disabled	80268									no-passk-data	>-
CG-AL-H054	singleinstance-bounded-fifo-cache	caching				code-gen.md	0									Disabled	80269									no-passk-data	>-
CG-AL-H056	this-keyword-codeunit-self-pass	codeunit-mechanics				code-gen.md	0									Disabled	80271									no-passk-data	>-
CG-AL-H057	page-onaftergetrecord-readonly	pages				code-gen.md	0						Y			Disabled	80272									no-passk-data	>-
CG-AL-H058	tempblob-base64-utf8-roundtrip	serialization				code-gen.md	0									Disabled	80273									no-passk-data	>-
CG-AL-H205	line-amount-engine-event	interfaces-events				code-gen.md	0							CG-AL-H205.Spy.al;CG-AL-H205.Subscriber.al		Disabled	80005									no-passk-data	>-
CG-AL-X001	manual-subscription	interfaces-events		ado-trap-2026		code-gen.md	0						Y			Disabled	80290									no-passk-data	>-
CG-AL-X002	codeunit-run-rollback	error-transactions		ado-trap-2026		code-gen.md	0						Y			Disabled	80291									no-passk-data	>-
CG-AL-X003	changelog-user-gate	error-transactions		ado-trap-2026		code-gen.md	0									Disabled	80292									no-passk-data	>-
CG-AL-X005	modify-after-loop	records-runtime		ado-trap-2026		code-gen.md	0						Y			Disabled	80294									no-passk-data	>-
CG-AL-X006	or-union-filter	business-logic		ado-trap-2026		code-gen.md	0						Y			Disabled	80295									no-passk-data	>-
CG-AL-X007	changecompany	records-runtime		ado-trap-2026		code-gen.md	0						Y			Disabled	80296									no-passk-data	>-
CG-AL-X008	startsession-commit	error-transactions		ado-trap-2026		code-gen.md	0						Y			Disabled	80297									no-passk-data	>-
CG-AL-X012	tablerelation-cascade	data-modeling		ado-trap-2026		code-gen.md	0						Y			Disabled	80301									no-passk-data	>-
CG-AL-X013	code-length-overflow	business-logic		ado-trap-2026		code-gen.md	0									Disabled	80302									no-passk-data	>-
CG-AL-X033	transferfields-bynumber	integration-serialization		ado-trap-2026	fable-designed	code-gen.md	0						Y			Disabled	80322									no-passk-data	>-
CG-AL-X034	enum-caption-name	reflection-datatransfer		ado-trap-2026	fable-designed	code-gen.md	0						Y			Disabled	80323									no-passk-data	>-
CG-AL-X035	poisoned-rescue	error-transactions		ado-trap-2026	fable-designed	code-gen.md	0						Y			Disabled	80324									no-passk-data	>-
CG-AL-X037	inner-commit	error-transactions		ado-trap-2026	fable-designed	code-gen.md	0						Y			Disabled	80326									no-passk-data	>-
CG-AL-X040	chatty-logger	error-transactions		ado-trap-2026	fable-designed	code-gen.md	0						Y			Disabled	80328									no-passk-data	>-
CG-AL-X041	protected-residue	error-transactions		ado-trap-2026	fable-designed	code-gen.md	0						Y			Disabled	80330									no-passk-data	>-
CG-AL-X043	field-cascade	integration-serialization		ado-trap-2026	community-idea	code-gen.md	0									Disabled	80332									no-passk-data	>-
